Index,Prod_id
0,726
1,3141
2,5006
3,62666
4,62682
5,62784
6,88308
7,88311
8,88316
9,88555
10,88558
11,88559
12,94203
13,309202
14,331684
15,333262
16,333283
17,333286
18,333291
19,333303
20,333304
21,333309
22,333314
23,334339
24,334384
25,334397
26,338723
27,340643
28,342701
29,367186
30,373182
31,374500
32,374503
33,374504
34,383858
35,384164
36,384165
37,390811
38,390812
39,390813
40,390814
41,391033
42,391034
43,391035
44,391036
45,391039
46,391042
47,391171
48,391172
49,391176
50,391177
51,391179
52,391193
53,391214
54,391215
55,391216
56,391226
57,391229
58,391231
59,391234
60,391279
61,391280
62,391281
63,391282
64,391283
65,391285
66,391287
67,391288
68,391289
69,395626
70,395627
71,399013
72,399015
73,400883
74,400903
75,404756
76,404760
77,406109
78,406122
79,406124
80,406125
81,406126
82,406128
83,406130
84,406577
85,406596
86,407727
87,407737
88,414106
89,414113
90,414117
91,417671
92,417705
93,419676
94,421618
95,423838
96,426943
97,426944
98,426967
99,427014
100,427021
101,430392
102,432636
103,432638
104,432639
105,432640
106,432641
107,432642
108,432643
109,432645
110,432646
111,432647
112,432648
113,432650
114,432651
115,432652
116,432653
117,432658
118,432659
119,432660
120,432662
121,432663
122,440011
123,440186
124,440187
125,440188
126,440189
127,440629
128,440630
129,440640
130,440641
131,440642
132,440643
133,440644
134,440645
135,440648
136,440653
137,440654
138,440655
139,440661
140,440662
141,445338
142,445343
143,447881
144,449372
145,449386
146,449785
147,449786
148,449789
149,449956
150,451053
151,451058
152,453001
153,457822
154,457823
155,457824
156,457825
157,457828
158,457830
159,457831
160,457843
161,457844
162,457846
163,457847
164,457855
165,457856
166,457859
167,457860
168,457861
169,457862
170,458003
171,459253
172,459258
173,460157
174,460158
175,460159
176,460506
177,461311
178,461333
179,461336
180,461339
181,461341
182,461345
183,461359
184,461363
185,461364
186,461365
187,461366
188,461372
189,461373
190,461377
191,461382
192,461383
193,461384
194,461585
195,461591
196,461600
197,462255
198,462259
199,462260
200,464161
201,464165
202,464166
203,464169
204,464170
205,464171
206,464172
207,464175
208,464176
209,464177
210,464178
211,464341
212,306980
213,331724
214,331729
215,337594
216,337601
217,338183
218,338230
219,343969
220,396577
221,404027
222,404029
223,406582
224,413916
225,413919
226,413926
227,429637
228,452126
229,452127
230,452128
231,102273
232,102803
233,102810
234,103610
235,103634
236,103635
237,103636
238,103643
239,103647
240,103656
241,103711
242,103714
243,103728
244,103856
245,103887
246,103907
247,103927
248,104008
249,104014
250,104036
251,104303
252,104306
253,104308
254,104484
255,104486
256,104507
257,104509
258,105049
259,105056
260,105058
261,105060
262,105290
263,126170
264,126171
265,126178
266,126257
267,128588
268,129380
269,129813
270,129835
271,129868
272,130207
273,130215
274,130226
275,130228
276,130235
277,130273
278,130307
279,130630
280,130721
281,130734
282,130735
283,130888
284,130953
285,130960
286,130990
287,304799
288,306871
289,306968
290,306970
291,307078
292,308399
293,308404
294,333495
295,333622
296,334159
297,335022
298,335024
299,335060
300,335078
301,335106
302,335201
303,335205
304,335384
305,335388
306,335394
307,335428
308,335452
309,335454
310,335456
311,335458
312,335462
313,335464
314,335466
315,335470
316,335964
317,336036
318,337857
319,337873
320,337887
321,337888
